shipping_sku,country_code,postcode
9000436-016,AT,9831
9000436-016,AT,9832
9000436-016,AT,9833
9000436-016,AT,9841
9000436-016,AT,9842
9000436-016,AT,9843
9000436-016,AT,9844
9000436-016,AT,9851
9000436-016,AT,9852
9000436-016,AT,9853
9000436-016,AT,9854
9000436-016,AT,9861
9000436-016,AT,9862
9000436-016,AT,9863
9000436-016,AT,9872
9000436-016,AT,9873
9000436-016,AT,9900
9000436-016,AT,9903
9000436-016,AT,9904
9000436-016,AT,9905
9000436-016,AT,9906
9000436-016,AT,9907
9000436-016,AT,9909
9000436-016,AT,9911
9000436-016,AT,9912
9000436-016,AT,9913
9000436-016,AT,9918
9000436-016,AT,9919
9000436-016,AT,9920
9000436-016,AT,9922
9000436-016,AT,9931
9000436-016,AT,9932
9000436-016,AT,9941
9000436-016,AT,9942
9000436-016,AT,9942
9000436-016,AT,9951
9000436-016,AT,9951
9000436-016,AT,9953
9000436-016,AT,9954
9000436-016,AT,9961
9000436-016,AT,9962
9000436-016,AT,9963
9000436-016,AT,9971
9000436-016,AT,9972
9000436-016,AT,9974
9000436-016,AT,9981
9000436-016,AT,9990
9000436-016,AT,9991
9000436-016,AT,9991
9000435-015,CZ,33035
9000435-015,CZ,33036
9000435-015,CZ,33038
9000435-015,CZ,33038
9000435-015,CZ,33040
9000435-015,CZ,33041
9000435-015,CZ,33101
9000435-015,CZ,33141
9000435-015,CZ,33152
9000435-015,CZ,33153
9000435-015,CZ,33161
9000435-015,CZ,33162
9000435-015,CZ,33162
9000435-015,CZ,33165
9000435-015,CZ,33452
9000435-015,CZ,33563
9000435-015,CZ,33564
9000435-015,CZ,34001
9000435-015,CZ,34002
9000435-015,CZ,34003
9000435-015,CZ,34004
9000435-015,CZ,34006
9000435-015,CZ,34012
9000435-015,CZ,34014
9000435-015,CZ,34174
9000435-015,CZ,34181
9000435-015,CZ,34182
9000435-015,CZ,34183
9000435-015,CZ,34184
9000435-015,CZ,34191
9000435-015,CZ,34192
9000435-015,CZ,34192
9000435-015,CZ,34194
9000435-015,CZ,34195
9000435-015,CZ,34507
